Country Name,Country Code,Total Population,Access to Electricity (%),Population Growth Rate,Urban Population Growth Rate,Urban Population,Political Stability Index,Regulatory Quality Index,Logistics Performance Index,GDP per Capita Growth (%),GDP per Capita (current US$),Chicken Meat Production (kg),Import Quantity (kg),Export Quantity (kg),Poultry Consumption (kg)
Afghanistan,AFG,40578842.0,85.3,1.43570437048699,2.57685430442875,10800465.0,-2.54495596885681,-1.27180624008179,1.9,-7.57666891152213,357.261152798144,28503140.0,6902310.0,56040.0,35782025.2029484
Angola,AGO,35635029.0,48.5,3.14302612044601,4.05935834515923,24260684.0,-0.630108535289764,-0.606698572635651,2.1,-0.143628267802001,2929.69445467272,57177380.0,308122710.0,10870.0,374396189.40086097
United Arab Emirates,ARE,10074977.0,100.0,5.08834153373914,5.36744888416396,8819937.0,0.744183301925659,1.03478074073792,4.0,2.17608343758344,49899.0652975197,47000000.0,615447940.0,94007430.0,513111727.62564
Argentina,ARG,45407904.0,100.0,0.210808731072658,0.338668250794531,41932837.0,-0.0985943302512169,-0.697565734386444,2.8,5.04819532337936,13935.6811110049,2319469000.0,10218320.0,179621830.0,2193142278.84576
Armenia,ARM,2969200.0,100.0,0.2326562627468,0.456271083261192,1887610.0,-0.740756273269653,-0.0190788023173809,2.5,12.3383335576379,6571.97445545099,14100000.0,37595230.0,192800.0,52872384.0632
Antigua and Barbuda,ATG,92840.0,100.0,0.530270318994476,0.390088707791649,22603.0,0.938082098960876,0.28908696770668,2.9,8.53077119658229,20105.1989085164,88310.0,6406990.0,5840.0,6405931.2196
Australia,AUS,26014399.0,100.0,1.27269881377618,1.41848597605496,22499333.0,0.983715951442719,1.89489328861237,3.7,2.92410064137691,64997.0136536475,1364171000.0,83080.0,50152780.0,1275897686.848574
Austria,AUT,9041851.0,100.0,0.956287797076634,1.39772647778413,5357839.0,0.648710012435913,1.28319978713989,4.0,4.27593327942937,52176.6649141178,128404000.0,57009490.0,51936180.0,170673436.96494
Belgium,BEL,11680210.0,100.0,0.808165350001861,0.844853229392313,11464477.0,0.581981599330902,1.25295519828796,4.0,3.42016830765408,50822.2518538518,442020000.0,207627420.0,417164880.0,190033547.67763
Benin,BEN,13759501.0,56.5,2.54740926342667,3.68845908680019,6815631.0,-0.34320268034935,-0.348364651203156,2.9,3.58043408047179,1266.42710981159,9360000.0,85544280.0,6240.0,142742012.779569
Bangladesh,BGD,169384897.0,99.4,1.02423384746683,2.9694492210023,67264436.0,-1.046462059021,-0.927658915519714,2.6,6.00847462887278,2716.48592780431,221288420.0,8119.999999999999,700.0,284169402.4380453
Bulgaria,BGR,6465097.0,100.0,-0.650676134087796,-0.207079754756504,4936942.0,0.313428640365601,0.320686906576157,3.2,4.7179402574691,13999.6719197289,90580000.0,79739240.0,22499690.0,134058570.46677999
Bahrain,BHR,1524693.0,100.0,1.34221960637543,1.47712259664154,1368305.0,-0.362905442714691,0.970633506774902,3.5,4.76451212539493,30470.5219276023,8500000.0,56135260.0,603180.0,68403979.2213
Bosnia and Herzegovina,BIH,3204802.0,100.0,-1.24363802761194,-0.405486169899533,1597305.0,-0.483193695545197,-0.157615318894386,3.0,5.53110882891563,7655.59421024383,67007000.0,11401140.0,7812820.0,70555619.68238801
Belarus,BLR,9228071.0,100.0,-0.804228426880244,-0.285001724614092,7412540.0,-0.802096605300903,-1.33121407032013,2.7,-3.88854008273081,7994.64806074889,508120000.0,16337760.0,183145420.0,336964978.144123
Bolivia,BOL,12077154.0,99.9,1.16425907336882,1.6667227345521,8554248.0,-0.191908553242683,-1.21053624153137,2.4,2.40643659045257,3643.92826984604,537247000.0,3210620.0,216000.0,518913399.65562
Brazil,BRA,210306415.0,100.0,0.360180890872169,0.632380457299841,184133782.0,-0.395036935806274,-0.220437631011009,3.2,2.64631532411505,9281.33334441234,14524000000.0,4821330.0,4364053230.0,10130500599.688095
Bhutan,BTN,780914.0,100.0,0.703183917780367,2.26734009222369,341150.0,1.00934255123138,-0.381970435380936,2.5,4.47661599603487,3711.32767981591,993560.0,2819520.0,87130.0,3763599.014263
Botswana,BWA,2439892.0,75.9,1.58848021878269,2.51212767740561,1762188.0,1.0739837884903,0.621043562889099,3.1,3.82363084321453,8328.70905682185,1509630.0,4850970.0,3670.0,6733559.7759976005
Central African Republic,CAF,5098039.0,15.7,-0.275432271573156,0.825222189936067,2198274.0,-2.20505237579346,-1.47418415546417,2.5,0.730965731814123,467.359825026238,6371720.0,6067300.0,29900.0,12999398.901005799
Canada,CAN,38935934.0,100.0,1.80390457488184,1.9250771414666,31830905.0,0.780681550502777,1.67709279060364,4.0,2.32641594463436,56256.8007264015,1370800000.0,148484180.0,63545760.0,1587841262.78258
Switzerland,CHE,8777088.0,100.0,0.829927183900371,0.959577009045183,6503120.0,1.15974533557892,1.62011301517487,4.1,2.1924092887961,94394.5106803525,109515000.0,33317480.000000004,759120.0,157145650.610688
Chile,CHL,19553036.0,100.0,0.495789591494285,0.603909578780234,17189465.0,0.13208432495594,0.978411138057709,3.0,1.64877813218645,15405.6165774073,692847250.0,153699720.0,143670240.0,754939747.898528
China,CHN,1412175000.0,100.0,-0.0130995013525784,1.64948085688024,897578430.0,-0.45127671957016,-0.418417632579803,3.7,3.14769982133814,12970.6056414327,14300000000.0,1298211070.0,226704330.0,24216699933.6
Cameroon,CMR,27632771.0,71.0,2.62905090961273,3.63007474244833,16229555.0,-1.37962925434113,-0.898889482021332,2.1,1.04502997524601,1604.87726954895,127126070.0,2060179.9999999998,1011210.0,124219695.566896
"Congo, Rep.",COG,6035104.0,50.6,2.39665300284304,3.05788341972666,4148289.0,0.0389938205480576,-1.26143133640289,2.6,-0.927744025174505,2620.83804304713,6984610.0,152771000.0,75000.0,164783590.075136
Costa Rica,CRI,5081765.0,100.0,0.429453043658398,1.18436321506495,4169182.0,0.956596434116364,0.567061722278595,2.9,4.10345495842361,13625.9008491478,152238000.0,16352530.0,1056470.0,167185423.76678997
Cyprus,CYP,1331370.0,100.0,1.06174678712373,1.14399342381288,890833.0,0.423811227083206,0.773753821849823,3.2,5.91318391367162,33894.44921875,27110000.0,12655460.0,825900.0,36405678.91788
Czechia,CZE,10672118.0,100.0,1.5709725672011,1.79035953139551,7937601.0,0.814114570617676,1.38589835166931,3.3,1.24409473190281,28282.2236715857,161020000.0,92215420.0,23387190.0,250465783.618414
Germany,DEU,83797985.0,100.0,0.720875455989295,0.854901972242501,65067459.0,0.628491878509521,1.52229499816895,4.1,0.641609114499019,49686.1154582583,1076000000.0,494001700.0,323859350.0,1371717707.7799
Denmark,DNK,5903037.0,100.0,0.787502464739957,0.931334143003829,5216337.0,0.86891770362854,1.84312748908997,4.1,0.743682017534567,68091.3191138669,151730000.0,45345040.0,66099330.0,104883113.062161
Dominican Republic,DOM,11230734.0,98.1,0.959629735113671,1.71983731919158,9416746.0,0.249287635087967,0.0695477873086929,2.6,4.2328919676722,10104.2449349081,365454060.0,49966690.0,3880.0,413782018.89048
"Egypt, Arab Rep.",EGY,112618250.0,100.0,1.48609697540294,1.73076817143477,48388683.0,-0.978700578212738,-0.713920831680298,3.1,5.01555864991792,4233.30783744856,1940000000.0,19526420.0,737260.0,2641564324.68525
Spain,ESP,47786102.0,100.0,0.718854879160094,1.02434695745198,38852012.0,0.318843424320221,0.797074437141418,3.9,5.41877389170267,30270.2687017458,1349990000.0,119585830.0,146070310.0,1525282248.219002
Estonia,EST,1348840.0,100.0,1.33655151148286,1.61568487394671,938914.0,0.727880895137787,1.5589644908905,3.6,-1.26803111695693,28451.1477825175,23100000.0,17916820.0,6176040.0,28165872.59968
Finland,FIN,5556106.0,100.0,0.271944526506117,0.371193268862735,4760527.0,0.894830107688904,1.77915287017822,4.2,0.489394588644501,50440.560224974,138280000.0,4823080.0,6130500.0,130838851.11796
Fiji,FJI,919422.0,92.0,0.295294727557318,1.13857143347044,535370.0,0.748508632183075,-0.0602172017097473,2.3,19.4395068591977,5405.03006162671,45158000.0,4680290.0,287090.0,34531432.653564
Gabon,GAB,2430747.0,93.5,2.24763901253797,2.59209242863381,2205538.0,0.0603694021701813,-0.702257215976715,2.4,0.747533658746065,8409.20741452279,4159399.9999999995,78071390.0,2340.0,91593765.269028
United Kingdom,GBR,67604000.0,100.0,0.921336799385098,1.21323809207328,57056424.0,0.533176064491272,1.5665100812912,3.7,3.87760016588989,46062.9914079698,1846770000.0,444974180.0,229516310.0,2376344418.176
Georgia,GEO,3712502.0,100.0,0.104889950638883,0.812214346055553,2238527.0,-0.43653005361557,1.0323086977005,2.7,10.8422088053808,6729.84659930283,24000000.0,62880310.0,19171550.0,70296860.207842
Ghana,GHA,33149152.0,85.1,1.92029034344132,3.00091553674379,19430375.0,-0.195024788379669,-0.178818702697754,2.5,1.8305124767942,2229.89122647803,64822840.0,235394660.0,10470.0,320364078.954944
Guinea,GIN,14055137.0,47.7,2.48250409145397,3.56081691702057,5294289.0,-0.838682115077972,-1.05010461807251,2.5,1.423063279934,1416.59612011764,14637230.0,66584050.0,26040.0,64168751.867232904
Greece,GRC,10436882.0,100.0,-1.25988945727074,-0.862125324883886,8386765.0,0.106463775038719,0.464378982782364,3.7,7.08432992567671,20971.8349258283,244850000.0,56276240.0,40399530.0,273036097.189872
Grenada,GRD,116913.0,94.2,0.192636221230939,0.665738026791263,43103.0,1.03362321853638,0.393730491399765,2.5,7.11420099513016,10535.4588771454,676700.0,6794230.0,76860.0,6219771.600000001
Guatemala,GTM,17847877.0,99.1,1.40623710213146,2.2088241693247,9399763.0,-0.262850880622864,-0.291810005903244,2.6,2.72968988042675,5358.70127494396,423838000.0,136467390.0,582320.0,518008714.807596
"Hong Kong SAR, China",HKG,7346100.0,100.0,-0.907914524343304,-0.907914524343304,7346100.0,0.5749272108078,1.58980143070221,4.0,-2.80530044911679,48825.8441873536,22694550.0,215834010.0,36901390.0,332622151.914
Honduras,HND,10463872.0,94.4,1.67679658023776,2.71913149858902,6236468.0,-0.568361818790436,-0.485292732715607,2.9,2.41184551052402,3003.28996826399,237653700.0,12222010.0,4736040.0,270628188.85094404
Croatia,HRV,3855641.0,100.0,-0.603521952188318,-0.0160809195781653,2244716.0,0.672563254833221,0.502549886703491,3.3,7.93740053837753,18466.0955472648,58960000.0,16233230.0,8761310.0,77717384.5088
Hungary,HUN,9605074.0,100.0,-0.268850150860009,0.155185741306019,6968673.0,0.678676307201385,0.406537681818008,3.2,4.55105571139856,18483.6366867035,348840000.0,69684720.0,127472920.0,234193661.319164
Indonesia,IDN,278830529.0,100.0,0.746050469653246,1.86388471386906,161537679.0,-0.553894221782684,0.205959960818291,3.0,4.52447576618876,4730.83484836107,4108522000.0,9270.0,509070.0,4077419965.250939
India,IND,1425423212.0,99.2,0.790200540609834,2.13449924103946,511327815.0,-0.615027368068695,-0.0504464171826839,3.4,6.76238601727897,2347.44829434623,4995490000.0,28260.0,4751510.0,4945934173.709206
Ireland,IRL,5212836.0,100.0,1.98101664069715,2.40415739474422,3345755.0,0.88466739654541,1.63956081867218,3.6,6.48890643608225,105234.511567597,144730000.0,74966780.0,75643380.0,159772000.295772
"Iran, Islamic Rep.",IRN,89524246.0,100.0,1.20100285857304,1.80432788779379,68760888.0,-1.62561237812042,-1.59271132946014,2.3,2.53772563042168,4405.09291519791,2089644000.0,107630000.0,3014000.0,2176572912.851344
Iraq,IRQ,44070551.0,100.0,2.29369659225826,2.62358261772982,31446101.0,-2.40930914878845,-1.18048512935638,2.4,5.51097802061808,6520.73154560584,162496000.0,452914010.0,321990.0,626672349.793903
Iceland,ISL,382003.0,100.0,2.51377343254216,2.5648362557588,359052.0,1.24969923496246,1.30729651451111,3.6,6.27363193926685,75121.0152280628,9167000.0,1683060.0,130.0,11512218.511383
Israel,ISR,9557500.0,100.0,1.96636884788361,2.06236414794182,8865824.0,-1.22896540164948,1.20628762245178,3.6,4.19414564339442,54949.621556429,553068000.0,0.0,188480.0,672136444.1250001
Italy,ITA,59013667.0,100.0,-0.20230086688254,0.232653944597574,42287423.0,0.466298222541809,0.510931491851807,3.7,5.0334454866795,35653.9042103495,993950000.0,87725100.0,84532140.0,1186874372.735952
Jamaica,JAM,2839144.0,100.0,0.0515076570013975,0.677901870843791,1618539.0,0.364242792129517,0.190213531255722,2.5,5.16733666750156,6022.15339791763,139858000.0,10709850.0,1742380.0,157399900.43624002
Japan,JPN,125124989.0,100.0,-0.443851919148528,-0.348106762186141,115058684.0,1.0326372385025,1.43877255916595,3.9,1.39102754851621,34065.6438962526,2371643000.0,574508730.0,3317830.0,3461777014.6679277
Kazakhstan,KAZ,20034609.0,100.0,1.46316879039749,1.75502319352025,11618070.0,-0.4683538377285,-0.0112340543419123,2.7,1.70100297910589,11255.3396437881,282996000.0,151990840.0,13652740.0,423264292.437504
Kyrgyz Republic,KGZ,6975220.0,99.7,1.7936545985598,2.63806503502602,2612987.0,-0.471610426902771,-0.63258820772171,2.3,7.03042869604123,1739.72018344174,18400000.0,38417790.0,373930.0,50201007.100999996
"Korea, Rep.",KOR,51672569.0,100.0,-0.187486566698935,-0.171518358139427,42075423.0,0.579976737499237,1.1452225446701,3.8,2.80523762871836,32394.6833725203,925000000.0,181625170.0,60984010.0,1127703282.652518
Kuwait,KWT,4589643.0,100.0,5.11318110910574,5.11318110910574,4589643.0,0.291892021894455,0.21008063852787,3.2,1.43711277102913,39981.7690981957,60000000.0,144226310.0,639490.0,223140121.637241
Sri Lanka,LKA,22181000.0,100.0,0.112772639779474,0.989080403392644,4220157.0,-0.80430680513382,-0.65364283323288,2.8,-7.45361888091261,3342.63650253855,228130000.0,124180.0,500790.0,221187911.674
Lithuania,LTU,2831639.0,100.0,0.824789131191284,1.14080990350527,1938682.0,0.653032541275024,1.29888129234314,3.4,1.695285500032,25085.784063499,84240000.0,37352870.0,37127890.0,73395261.70469
